Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Goals,Shots,Assists,Clearances,Fouls
1405,Paul Nardi,FRA,GK,Lorient,Ligue 1,27,1994,22,1980,0,0,0,0,0
1406,Nikolas Nartey,DEN,MF-DF,Stuttgart,Bundesliga,22,2000,8,404,0,0.22,0,1.33,2.22
1407,Matija Nastasi?,SRB,DF,Fiorentina,Serie A,29,1993,5,219,0,0.42,0,4.17,1.25
1408,Roberto Navarro,ESP,MF-FW,Real Sociedad,La Liga,20,2002,6,199,0,3.18,0,1.36,1.36
1409,Ximo Navarro,ESP,DF,FALSE,La Liga,32,1990,15,1104,0,0.89,0,3.74,1.14
1410,Keylor Navas,CRC,GK,Paris S-G,Ligue 1,35,1986,19,1684,0,0,0,0,0
1411,Papa Ndiaga Yade,SEN,DF-MF,Metz,Ligue 1,22,2000,17,651,0,1.11,0,0.97,1.39
1412,Loum Ndiaye,SEN,MF,FALSE,La Liga,25,1996,29,2051,0.09,1.36,0,3.29,2.63
1413,Wilfred Ndidi,NGA,MF-DF,Leicester City,Premier League,25,1996,19,1618,0,0.83,0,3.83,1.89
1414,Tanguy Ndombele,FRA,MF,Tottenham,Premier League,25,1996,9,484,0.19,1.67,0.19,0.56,0.93
1415,Dan Ndoye,SUI,FW-MF,Nice,Ligue 1,21,2000,3,205,0,1.3,0.43,0.43,1.3
1416,Paul Nebel,GER,MF-FW,Mainz 05,Bundesliga,19,2002,9,214,0,1.25,0.42,0.42,2.5
1417,Reiss Nelson,ENG,FW,Arsenal,Premier League,22,1999,1,20,0,5,0,0,0
1418,David Nemeth,AUT,DF,Mainz 05,Bundesliga,21,2001,6,311,0,0,0,2.86,0.29
1419,Ilija Nestorovski,MKD,FW,Udinese,Serie A,32,1990,4,30,0,10,0,0,0
1420,Neto,BRA,GK,Barcelona,La Liga,32,1989,2,180,0,0,0,0,0
1421,Pedro Neto,POR,MF-FW,Wolves,Premier League,22,2000,9,231,0,3.46,0,0.38,0.38
1422,Luca Netz,GER,DF,M'Gladbach,Bundesliga,18,2003,22,1216,0,1.04,0.3,2.15,0.52
1423,Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,36,1986,26,2340,0,0,0,0,0
1424,Florian Neuhaus,GER,MF,M'Gladbach,Bundesliga,25,1997,27,1941,0.19,2.08,0.14,0.79,0.97
1425,Carlos Neva,ESP,DF,Granada,La Liga,25,1996,26,2108,0,0.26,0,2.82,0.38
1426,Neymar,BRA,FW-MF,Paris S-G,Ligue 1,30,1992,20,1683,0.59,2.41,0.32,0.11,1.55
1427,Yvan Neyou,CMR,MF,FALSE,Ligue 1,25,1997,16,936,0,0.58,0,1.25,1.63
1428,Jeremy Ngakia,ENG,DF,Watford,Premier League,21,2000,14,723,0,0.5,0,1.88,1.38
1429,Jessic Ngankam,GER,FW,FALSE,Bundesliga,21,2000,4,193,0,1.9,0.48,0,2.86
1430,Opa Nguette,SEN,FW-MF,Metz,Ligue 1,27,1994,26,1048,0.17,1.98,0.17,0.78,1.21
1431,Moussa Niakhate,FRA,DF,Mainz 05,Bundesliga,26,1996,28,2387,0.15,0.34,0,3.55,1.28
1432,Ibrahima Niane,SEN,FW,Metz,Ligue 1,23,1999,26,1582,0.17,2.44,0.06,0.91,0.8
1433,M'Baye Niang,SEN,FW,Bordeaux,Ligue 1,27,1994,21,701,0.38,3.08,0.13,0.26,3.21
1434,Cheikh Niasse,SEN,MF-FW,Lille,Ligue 1,22,2000,4,44,0,0,0,4,2
1435,Florian Niederlechner,GER,FW,Augsburg,Bundesliga,31,1990,24,1040,0.43,2.33,0.26,0.6,1.21
1436,Dimitris Nikolaou,GRE,DF,Spezia,Serie A,23,1998,33,2970,0,0.09,0,4.15,0.88
1437,Joakim Nilsson,SWE,DF,Arminia,Bundesliga,28,1994,29,2556,0.04,0.14,0,6.2,1.23
1438,Casimir Ninga,CHA,FW,Angers,Ligue 1,28,1993,15,404,0,2,0,0,2.44
1439,Eddie Nketiah,ENG,FW,Arsenal,Premier League,22,1999,17,518,0.34,3.1,0.17,0.86,2.93
1440,Nicolas Nkoulou,CMR,DF,Watford,Premier League,32,1990,3,168,0,0,0,5.26,0.53
1441,Christopher Nkunku,FRA,FW-MF,RB Leipzig,Bundesliga,24,1997,32,2556,0.63,2.54,0.46,0.53,1.16
1442,Lukas Nmecha,GER,FW-MF,Wolfsburg,Bundesliga,23,1998,23,1459,0.49,3.27,0,0.62,1.91
1443,Mark Noble,ENG,MF,West Ham,Premier League,34,1987,8,284,0.31,0,0,0.63,1.56
