Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Goals,Shots,Assists,Clearances,Fouls
1581,Yeremi Pino,ESP,MF-FW,Villarreal,La Liga,19,2002,31,1678,0.32,1.4,0.22,0.48,1.67
1582,Marko Pjaca,CRO,FW-MF,Torino,Serie A,27,1995,23,1104,0.24,1.63,0,0.33,1.14
1583,Marvin Plattenhardt,GER,DF,Hertha BSC,Bundesliga,30,1992,20,1547,0,0.41,0.17,2.15,0.87
1584,Tommaso Pobega,ITA,MF,Torino,Serie A,22,1999,30,2088,0.17,1.98,0.09,1.59,3.41
1585,Daniel Podence,POR,FW-MF,Wolves,Premier League,26,1995,25,1468,0.12,2.15,0.18,0,0.67
1586,Suf Podgoreanu,ISR,FW,Spezia,Serie A,20,2002,5,113,0,0.77,0.77,3.08,1.54
1587,Paul Pogba,FRA,MF-FW,Manchester Utd,Premier League,29,1993,20,1349,0.07,2.13,0.6,1.67,3
1588,Joel Pohjanpalo,FIN,FW,Leverkusen,Bundesliga,27,1994,2,12,0,0,0,0,10
1589,Matteo Politano,ITA,FW,Napoli,Serie A,28,1993,31,1561,0.12,2.31,0.17,0.4,1.1
1590,Julian Pollersbeck,GER,GK,Lyon,Ligue 1,27,1994,6,436,0,0,0,0,0
1591,Sebastian Polter,GER,FW,Bochum,Bundesliga,31,1991,31,2184,0.37,2.1,0.04,0.82,3.13
1592,Ezequiel Ponce,ARG,FW,Elche,La Liga,25,1997,10,603,0.15,1.94,0,0.9,2.24
1593,Marin Pongra?i?,CRO,DF,Dortmund,Bundesliga,24,1997,16,818,0,0,0,4.62,1.43
1594,Pere Pons,ESP,MF,FALSE,La Liga,29,1993,23,1189,0.08,1.14,0,0.61,2.05
1595,Nick Pope,ENG,GK,Burnley,Premier League,30,1992,32,2880,0,0,0,0.13,0
1596,Manolo Portanova,ITA,MF-FW,Genoa,Serie A,21,2000,21,1165,0.08,1.78,0,1.24,3.49
1597,Portu,ESP,FW-MF,Real Sociedad,La Liga,29,1992,33,1539,0,1.4,0.12,0.47,1.05
1598,Stefan Posch,AUT,DF,Hoffenheim,Bundesliga,24,1997,26,2019,0.09,0.54,0,3.57,1.65
1599,Sergio Postigo,ESP,DF,Levante,La Liga,33,1988,10,653,0,0.27,0,4.11,0.68
1600,Yussuf Poulsen,DEN,FW,RB Leipzig,Bundesliga,27,1994,24,1060,0.51,2.2,0,0.68,1.86
1601,Dennis Praet,BEL,FW-MF,Torino,Serie A,27,1994,20,1270,0.14,1.42,0.14,0.14,1.42
1602,Mateusz Praszelik,POL,FW-MF,Hellas Verona,Serie A,21,2000,2,25,0,3.33,0,3.33,6.67
1603,Sanjin Prci?,BIH,MF,Strasbourg,Ligue 1,28,1993,29,1935,0.05,1.95,0,0.98,1.4
1604,Manuel Prietl,AUT,MF,Arminia,Bundesliga,30,1991,24,1943,0,0.79,0.05,1.71,1.94
1605,Ivan Provedel,ITA,GK,Spezia,Serie A,28,1994,28,2520,0,0.04,0,0.04,0.07
1606,Javi Puado,ESP,MF-FW,Espanyol,La Liga,23,1998,26,1912,0.19,1.65,0.05,0.47,1.08
1607,Pubill,ESP,DF,Levante,La Liga,18,2003,10,484,0,1.11,0.19,1.11,2.04
1608,Antonio Puertas,ESP,MF-FW,Granada,La Liga,30,1992,29,1932,0.23,1.4,0.05,0.88,1.86
1609,Riqui Puig,ESP,MF,Barcelona,La Liga,22,1999,11,320,0.28,2.22,0,0,1.94
1610,Teemu Pukki,FIN,FW,Norwich City,Premier League,32,1990,33,2893,0.31,1.71,0.09,0.12,1.28
1611,Erick Pulgar,CHI,MF,Fiorentina,Serie A,28,1994,6,341,0,0.79,0.26,1.32,1.32
1612,Christian Pulisic,USA,FW-MF,Chelsea,Premier League,23,1998,19,1052,0.43,1.62,0.09,0.77,0.94
1613,Afimico Pululu,FRA,FW,FALSE,Bundesliga,23,1999,7,66,0,1.43,0,0,5.71
1614,Ignacio Pussetto,ARG,FW-MF,Udinese,Serie A,26,1995,26,1093,0.33,2.4,0.33,0.66,2.48
1615,Przemys?aw P?acheta,POL,FW-MF,Norwich City,Premier League,24,1998,10,460,0,1.37,0,0.98,0.39
1616,Yacine Qasmi,MAR,MF,Rayo Vallecano,La Liga,31,1991,1,4,0,0,0,0,0
1617,Fabio Quagliarella,ITA,FW,Sampdoria,Serie A,39,1983,31,1577,0.17,2.74,0.11,0.63,1.09
1618,Quini,ESP,DF,Granada,La Liga,32,1989,28,1944,0,0.65,0,2.73,1.94
1619,Dani Raba,ESP,MF-FW,Granada,La Liga,26,1995,2,26,0,0,0,0,3.33
1620,Adrien Rabiot,FRA,MF,Juventus,Serie A,27,1995,30,2105,0,1.11,0.09,1.15,1.92
1621,Nemanja Radoja,SRB,MF,Levante,La Liga,29,1993,16,1011,0,0.27,0,1.88,1.96
1622,Nemanja Radonji?,SRB,MF,Marseille,Ligue 1,26,1996,1,18,0,0,0,0,0
1623,Ivan Radovanovi?,SRB,DF-MF,Salernitana,Serie A,33,1988,11,783,0.11,1.61,0,2.53,0.92
1624,Ionu? Radu,ROU,GK,Inter,Serie A,24,1997,1,90,0,0,0,0,0
1625,?tefan Radu,ROU,DF,Lazio,Serie A,35,1986,9,549,0,0.33,0,3.11,0.82
1626,Boris Radunovi?,SRB,GK,Cagliari,Serie A,25,1996,3,270,0,0,0,0,0
1627,Sidney Raebiger,GER,MF,RB Leipzig,Bundesliga,17,2005,1,4,0,0,0,0,0
1628,Rafinha,BRA,MF-FW,Real Sociedad,La Liga,29,1993,13,815,0.11,0.99,0,0.44,1.65
1629,Antonio Raillo,ESP,DF,Mallorca,La Liga,30,1991,13,1170,0.08,0.46,0,4.54,1.31
1630,Predrag Rajkovi?,SRB,GK,Reims,Ligue 1,26,1995,35,3150,0,0,0,0.09,0
1631,Jesuran Rak Sakyi,ENG,MF,Crystal Palace,Premier League,19,2002,1,14,0,0,0,0,0
1632,Ivan Rakiti?,CRO,MF,Sevilla,La Liga,34,1988,31,2049,0.18,1.27,0.26,1.49,1.71
1633,Diant Ramaj,GER,GK,Eint Frankfurt,Bundesliga,20,2001,1,90,0,0,0,0,0
1634,Adil Rami,FRA,DF,Troyes,Ligue 1,36,1985,16,1161,0.23,0.47,0,3.33,0.62
1635,Guilherme Ramos,POR,DF,Arminia,Bundesliga,24,1997,11,726,0,0.86,0,5.93,1.6
1636,Sergio Ramos,ESP,DF,Paris S-G,Ligue 1,36,1986,10,621,0.29,1.3,0,3.19,1.74
1637,Aaron Ramsdale,ENG,GK,Arsenal,Premier League,23,1998,30,2700,0,0,0,0.03,0
1638,Aaron Ramsey,WAL,MF,Juventus,Serie A,31,1990,3,99,0,0,0,0,0.91
1639,Jacob Ramsey,ENG,MF,Aston Villa,Premier League,20,2001,31,2289,0.24,1.3,0.04,0.91,1.54
1640,Luca Ranieri,ITA,DF,Salernitana,Serie A,23,1999,27,2103,0.04,0.38,0,2.56,0.81
1641,Andrea Ranocchia,ITA,DF,Inter,Serie A,34,1988,5,323,0,0.56,0,5.28,1.39
1642,Tobias Raschl,GER,MF,FALSE,Bundesliga,22,2000,8,455,0,0.78,0,0.39,0.98
1643,Elba Rashani,KVX,FW-MF,Clermont Foot,Ligue 1,28,1993,27,1736,0.36,1.5,0.16,0.78,2.02
1644,Marcus Rashford,ENG,FW-MF,Manchester Utd,Premier League,24,1997,25,1235,0.29,1.61,0.15,0.44,0.95
1645,Milot Rashica,KVX,FW-MF,Norwich City,Premier League,25,1996,28,2028,0.04,1.91,0.09,0.84,1.2
1646,Giacomo Raspadori,ITA,MF-FW,Sassuolo,Serie A,22,2000,33,2482,0.36,2.54,0.11,0.33,0.94
1647,David Raum,GER,DF,Hoffenheim,Bundesliga,24,1998,30,2577,0.1,0.87,0.38,1.68,0.94
1648,David Raya,ESP,GK,Brentford,Premier League,26,1995,21,1890,0,0,0,0,0
1649,Ante Rebi?,CRO,FW,Milan,Serie A,28,1993,22,825,0.22,3.04,0.22,0.54,1.85
1650,Arkadiusz Reca,POL,DF,Spezia,Serie A,26,1995,23,1697,0,0.42,0.11,2.38,1.27
1651,Nathan Redmond,ENG,MF-FW,Southampton,Premier League,28,1994,24,1571,0,1.2,0.29,0.86,0.91
1652,Manolo Reina,ESP,GK,Mallorca,La Liga,37,1985,18,1620,0,0,0,0,0
1653,Pepe Reina,ESP,GK,Lazio,Serie A,39,1982,15,1350,0,0,0.07,0.07,0.07
1654,Reinier,BRA,FW-MF,Dortmund,Bundesliga,20,2002,12,161,0,0.56,0,0,1.67
1655,Karim Rekik,NED,DF,Sevilla,La Liga,27,1994,16,1037,0,0.35,0.17,2.96,1.39
1656,Panagiotis Retsos,GRE,DF-FW,Leverkusen,Bundesliga,23,1998,4,32,0,2.5,0,2.5,0
1657,Marco Reus,GER,MF-FW,Dortmund,Bundesliga,32,1989,27,2324,0.35,1.98,0.47,0.93,0.93
1658,Gio Reyna,USA,MF,Dortmund,Bundesliga,19,2002,10,439,0.41,2.24,0.2,0.61,1.43
1659,Bryan Reynolds,USA,DF,Roma,Serie A,20,2001,1,2,0,0,0,1,0
1660,Nico Ribaudo,ESP,MF-FW,Espanyol,La Liga,21,2001,27,909,0.1,1.49,0,0.69,2.57
1661,Tiago Ribeiro,POR,FW,Monaco,Ligue 1,20,2002,1,2,0,0,0,0,0
1662,Samuele Ricci,ITA,MF,Empoli,Serie A,20,2001,21,1530,0.06,0.47,0.06,0.94,1.06
1663,Declan Rice,ENG,MF,West Ham,Premier League,23,1999,33,2909,0.03,0.77,0.12,1.3,1.05
1664,Chris Richards,USA,DF,Hoffenheim,Bundesliga,22,2000,19,1304,0.07,0.69,0.07,4.34,0.9
1665,Omar Richards,ENG,DF,Bayern Munich,Bundesliga,24,1998,11,428,0,0.83,0,1.25,2.92
1666,Taylor Richards,ENG,MF-FW,Brighton,Premier League,21,2000,2,25,0,3.33,0,0,6.67
1667,Richarlison,BRA,FW-MF,Everton,Premier League,24,1997,26,2164,0.33,2.38,0.17,1.17,1.63
1668,Marco Richter,GER,FW-MF,Hertha BSC,Bundesliga,24,1997,29,1659,0.27,2.28,0.05,0.87,1.85
1669,Diego Rico,ESP,DF,Real Sociedad,La Liga,29,1993,17,1292,0,0.49,0,2.36,0.97
1670,Sergio Rico,ESP,GK,Paris S-G,Ligue 1,28,1993,1,23,0,0,0,0,0
1671,Manuel Riemann,GER,GK,Bochum,Bundesliga,33,1988,30,2700,0,0,0.03,0,0
1672,Luis Rioja,ESP,FW-MF,FALSE,La Liga,28,1993,34,2866,0.03,1.26,0.09,0.79,0.63
1673,Renaud Ripart,FRA,FW-DF,Troyes,Ligue 1,29,1993,25,1635,0.11,2.14,0.05,0.82,1.32
1674,Mihailo Risti?,SRB,DF,Montpellier,Ligue 1,26,1995,27,1623,0.06,0.89,0.17,2,1.33
1675,Matt Ritchie,SCO,DF,Newcastle Utd,Premier League,32,1989,17,1335,0,0.68,0.14,1.69,0.81
1676,Maxence Rivera,FRA,FW,FALSE,Ligue 1,19,2002,1,5,0,0,0,0,0
1677,Rober,ESP,DF,Levante,La Liga,27,1995,24,1754,0.05,0.31,0,4.77,1.85
1678,Sergi Roberto,ESP,MF-DF,Barcelona,La Liga,30,1992,9,400,0.45,0.91,0.23,0.91,0.45
1679,Connor Roberts,WAL,DF,Burnley,Premier League,26,1995,17,1377,0.07,0.26,0.07,3.33,0.46
1680,Patrick Roberts,ENG,DF,Troyes,Ligue 1,25,1997,1,14,0,5,0,0,0
1681,Tyler Roberts,WAL,MF-FW,Leeds United,Premier League,23,1999,23,987,0.09,2.73,0.09,0.73,1.73
1682,Andrew Robertson,SCO,DF,Liverpool,Premier League,28,1994,27,2384,0.08,0.6,0.38,2.11,0.75
1683,Marc Roca,ESP,MF,Bayern Munich,Bundesliga,25,1996,8,360,0,1.25,0,0.5,3.75
1684,Enzo Roco,CHI,DF,Elche,La Liga,29,1992,27,2282,0.04,0.43,0,4.92,1.26
1685,Stian Rode Gregersen,NOR,DF,Bordeaux,Ligue 1,26,1995,24,1953,0.05,0.28,0.05,4.52,1.06
1686,Sebastian Rode,GER,MF,Eint Frankfurt,Bundesliga,31,1990,16,714,0.13,0.76,0,1.01,1.52
1687,Joe Rodon,WAL,DF,Tottenham,Premier League,24,1997,1,79,0,0,0,8.89,0
1688,Rodri,ESP,MF,Manchester City,Premier League,25,1996,29,2524,0.18,1.29,0.04,1.61,1.61
1689,Rodrigo,ESP,MF-FW,Leeds United,Premier League,31,1991,27,1964,0.28,2.02,0.05,1.19,1.06
1690,Gerson Rodrigues,LUX,FW,Troyes,Ligue 1,26,1995,12,848,0.11,2.45,0.11,0.21,3.09
1691,Jay Rodriguez,ENG,FW,Burnley,Premier League,32,1989,29,1382,0.13,2.66,0.13,0.78,2.4
1692,Rodrygo,BRA,FW,Real Madrid,La Liga,21,2001,28,1176,0.23,2.21,0.23,0.38,1.53
1693,Mads Roerslev,DEN,DF,Brentford,Premier League,22,1999,20,1224,0.07,0.37,0.07,2.06,1.4
1694,Marko Rog,CRO,MF,Cagliari,Serie A,26,1995,5,141,0,2.5,0,0.63,4.38
1695,Alessio Romagnoli,ITA,DF,Milan,Serie A,27,1995,18,1399,0.06,0.77,0,3.23,1.16
1696,Simone Romagnoli,ITA,DF,Empoli,Serie A,32,1990,17,1317,0.14,0.34,0,5.27,1.1
1697,Cristian Romero,ARG,DF,Tottenham,Premier League,24,1998,21,1754,0.05,0.31,0,3.59,1.79
1698,Luka Romero,ARG,FW,Lazio,Serie A,17,2004,6,58,0,1.67,0,0,1.67
1699,Sergio Romero,ARG,GK,Venezia,Serie A,35,1987,16,1440,0,0,0,0,0.06
1700,Oriol Romeu,ESP,MF,Southampton,Premier League,30,1991,33,2772,0.06,0.81,0.06,1.66,1.72
1701,Cristiano Ronaldo,POR,FW,Manchester Utd,Premier League,37,1985,29,2366,0.68,3.92,0.11,1.14,0.57
1702,Valentin Rongier,FRA,MF-DF,Marseille,Ligue 1,27,1994,29,1924,0,1.07,0.05,0.65,1.64
1703,Marten de Roon,NED,MF-DF,Atalanta,Serie A,31,1991,27,2278,0.12,0.83,0,2.09,2.02
1704,Pablo Rosario,NED,MF,Nice,Ligue 1,25,1997,33,2512,0,0.5,0.07,1.61,1.51
1705,Danny Rose,ENG,DF,Watford,Premier League,31,1990,8,689,0,0.52,0,1.69,1.56
1706,Francesco Rossi,ITA,GK,Atalanta,Serie A,31,1991,1,37,0,0,0,0,0
1707,Tom Rothe,GER,DF,Dortmund,Bundesliga,17,2004,2,94,1,2,0,3,4
1708,Jon Rowe,ENG,FW-MF,Norwich City,Premier League,19,2003,11,191,0,1.43,0.48,0,2.38
1709,Amir Rrahmani,KVX,DF,Napoli,Serie A,28,1994,31,2747,0.13,0.72,0,2.92,0.79
1710,Ruan,BRA,DF,Sassuolo,Serie A,22,1999,8,197,0,0,0,8.64,0.45
1711,Sebastian Rudy,GER,MF,Hoffenheim,Bundesliga,32,1990,19,724,0.38,1.63,0.13,2.38,1.5
1712,Daniele Rugani,ITA,DF,Juventus,Serie A,27,1994,10,744,0,0.24,0,3.25,1.33
1713,Matteo Ruggeri,ITA,DF,Salernitana,Serie A,19,2002,11,507,0,0.18,0,2.86,0.36
1714,Aitor Ruibal,ESP,FW-DF,Betis,La Liga,26,1996,19,856,0,2,0,0.42,2.63
1715,Isma Ruiz,ESP,MF,Granada,La Liga,21,2001,8,283,0,1.29,0,0.97,0.97
1716,Lukas Rupp,GER,MF,Norwich City,Premier League,31,1991,15,618,0,1.74,0,0.58,1.45
1717,Alessandro Russo,ITA,MF,Salernitana,Serie A,18,2003,1,29,0,0,0,6.67,0
1718,Franco Russo,ARG,DF,Mallorca,La Liga,27,1994,17,1452,0.06,0.37,0,4.66,1.49
1719,Georginio Rutter,FRA,FW-MF,Hoffenheim,Bundesliga,20,2002,32,1557,0.4,2.95,0.12,0.52,2.2
1720,Mathew Ryan,AUS,GK,Real Sociedad,La Liga,30,1992,3,270,0,0,0,0,0
1721,Julian Ryerson,NOR,DF,Union Berlin,Bundesliga,24,1997,26,1258,0.14,1.07,0,1.71,1.07
1722,Roli Pereira de Sa,FRA,MF,Nantes,Ligue 1,25,1996,17,573,0,0.78,0,0.63,1.09
1723,Youssouf Sabaly,SEN,DF,Betis,La Liga,29,1993,7,518,0,0.69,0.17,1.9,0.34
1724,Mathys Saban,FRA,FW-MF,FALSE,Ligue 1,19,2002,3,73,0,0,0,0,2.5
1725,Stefano Sabelli,ITA,DF,Genoa,Serie A,29,1993,7,348,0,0.51,0,2.05,1.28
1726,Abdelhamid Sabiri,GER,MF-FW,Sampdoria,Serie A,25,1996,11,647,0.28,1.81,0.14,0.42,1.94
1727,Marcel Sabitzer,AUT,MF-DF,Bayern Munich,Bundesliga,28,1994,24,900,0.1,1.9,0.1,1,1.7
1728,Falaye Sacko,MLI,DF,FALSE,Ligue 1,27,1995,7,550,0,0.16,0,1.8,1.48
1729,Alexis Saelemaekers,BEL,FW,Milan,Serie A,22,1999,33,1671,0.05,1.77,0.16,0.43,1.72
1730,Rafiki Said Ahamada,FRA,MF-FW,Brest,Ligue 1,22,2000,11,84,0,5.56,0,0,7.78
1731,Allan Saint-Maximin,FRA,FW-MF,Newcastle Utd,Premier League,25,1997,32,2567,0.18,2.11,0.14,0.07,0.77
1732,Bukayo Saka,ENG,FW-MF,Arsenal,Premier League,20,2001,34,2654,0.37,2.85,0.2,0.58,1.15
1733,Mamadou Sakho,FRA,DF,Montpellier,Ligue 1,32,1990,27,2395,0,0.04,0,4.77,0.3
1734,Bakary Sako,MLI,FW-MF,FALSE,Ligue 1,34,1988,7,156,0,3.53,0,0,2.35
1735,Jacopo Sala,ITA,MF,Spezia,Serie A,30,1991,18,880,0.1,0.41,0,0.82,1.63
1736,Mohamed Salah,EGY,FW,Liverpool,Premier League,29,1992,32,2620,0.76,4.19,0.45,0.14,0.45
1737,Eddie Salcedo,ITA,MF-FW,Spezia,Serie A,20,2001,10,403,0,3.11,0,1.11,1.78
1738,William Saliba,FRA,DF,Marseille,Ligue 1,21,2001,34,3060,0,0.47,0,2.41,0.44
1739,Romain Salin,FRA,GK,Rennes,Ligue 1,37,1984,1,90,0,0,0,0,0
1740,Mohammed Salisu,GHA,DF,Southampton,Premier League,23,1999,31,2702,0,0.77,0,6.07,1.47
1741,Roland Sallai,HUN,MF-FW,Freiburg,Bundesliga,24,1997,29,1400,0.26,2.82,0.19,0.96,1.67
1742,Yoann Salmier,GUF,DF,Troyes,Ligue 1,29,1992,28,2474,0,0.29,0.04,3.42,1.24
1743,Salvi,ESP,MF-FW,FALSE,La Liga,31,1991,22,1387,0.13,1.23,0.06,1.36,0.58
1744,Lazar Samardzic,GER,MF,Udinese,Serie A,20,2002,19,390,0.47,3.02,0.47,0.47,2.56
1745,Albert Sambi Lokonga,BEL,MF,Arsenal,Premier League,22,1999,18,1106,0,1.54,0,1.3,1.38
1746,Junior Sambia,FRA,DF-FW,Montpellier,Ligue 1,25,1996,28,1492,0.06,1.02,0,1.51,1.14
1747,Luigi Samele,ITA,FW,Sassuolo,Serie A,20,2002,2,5,0,0,10,10,0
1748,Fede San Emeterio,ESP,MF,FALSE,La Liga,25,1997,12,830,0,0,0,1.3,3.59
1749,Antonio Sanabria,PAR,FW,Torino,Serie A,26,1996,29,1803,0.3,2.45,0.05,0.55,1.4
1750,Oihan Sancet,ESP,FW,Athletic Club,La Liga,22,2000,27,1422,0.38,1.96,0.25,0.7,1.33
1751,Renato Sanches,POR,MF,Lille,Ligue 1,24,1997,24,1561,0.12,1.27,0.29,0.75,1.62
1752,Jadon Sancho,ENG,FW-MF,Manchester Utd,Premier League,22,2000,29,1900,0.14,1.23,0.14,0.24,0.33
1753,Philippe Sandler,NED,DF,Troyes,Ligue 1,25,1997,2,70,0,0,0,6.25,0
1754,Alex Sandro,BRA,DF,Juventus,Serie A,31,1991,25,1569,0,0.52,0.06,1.72,1.67
1755,Oier Sanjurjo,ESP,MF,Osasuna,La Liga,35,1986,21,581,0,1.08,0,1.08,3.23
1756,Mohamed Sankoh,NED,FW,Stuttgart,Bundesliga,18,2003,1,4,0,1,0,0,0
1757,Morgan Sanson,FRA,MF,Aston Villa,Premier League,27,1994,10,356,0,0.25,0,0.5,1.5
1758,Nicola Sansone,ITA,FW-MF,Bologna,Serie A,30,1991,25,848,0.21,2.45,0.32,0.21,1.49
1759,Baptiste Santamaria,FRA,MF,Freiburg,Bundesliga,27,1995,1,21,0,0,0,5,0
1760,Federico Santander,PAR,FW-DF,Bologna,Serie A,30,1991,7,67,1.43,2.86,0,0,2.86
1761,Samir Santos,BRA,DF,Watford,Premier League,27,1994,16,1416,0,0.45,0,4.52,0.89
1762,Sergio Santos,ESP,DF,Real Madrid,La Liga,21,2001,1,11,0,0,0,0,0
1763,Alvaro Sanz,ESP,MF,Barcelona,La Liga,21,2001,2,29,0,0,0,0,0
1764,Riccardo Saponara,ITA,FW,Fiorentina,Serie A,30,1991,26,1198,0.23,2.71,0.23,0.3,0.45
1765,Pablo Sarabia,ESP,FW,Paris S-G,Ligue 1,29,1992,2,22,5,5,0,0,5
1766,Marcelo Saracchi,URU,DF,Levante,La Liga,24,1998,2,49,0,0,0,0,0
1767,Josh Sargent,USA,FW-MF,Norwich City,Premier League,22,2000,26,1572,0.11,1.49,0.06,1.03,0.74
1768,Jeremy Sarmiento,ECU,FW-MF,Brighton,Premier League,19,2002,5,48,0,0,0,0,0
1769,Bouna Sarr,SEN,DF,Bayern Munich,Bundesliga,30,1992,5,64,0,1.43,0,0,0
1770,Ismaila Sarr,SEN,FW-MF,Watford,Premier League,24,1998,21,1771,0.25,1.93,0.1,0.56,0.96
1771,Malang Sarr,FRA,DF,Chelsea,Premier League,23,1999,6,510,0,0.18,0,4.39,1.58
1772,Joan Sastre Vanrell,ESP,DF,Mallorca,La Liga,25,1997,7,258,0,0.69,0,4.83,1.38
1773,Martin Satriano,ITA,FW-MF,Inter,Serie A,21,2001,4,38,0,0,0,0,2.5
1774,Esteban Saveljich,MNE,DF,Rayo Vallecano,La Liga,30,1991,21,1700,0,0.48,0,4.97,1.32
1775,Stefan Savi?,MNE,DF,FALSE,La Liga,31,1991,24,2080,0,0.65,0,4.11,1.21
1776,Joseph Scally,USA,DF,M'Gladbach,Bundesliga,19,2002,28,1887,0.05,0.86,0.1,1.62,1.38
1777,Giorgio Scalvini,ITA,DF-MF,Atalanta,Serie A,18,2003,16,738,0.12,1.59,0,1.95,1.83
1778,Gianluca Scamacca,ITA,FW,Sassuolo,Serie A,23,1999,33,1902,0.62,3.32,0,0.81,2.42
1779,Dane Scarlett,ENG,MF,Tottenham,Premier League,18,2004,1,4,0,0,0,0,0
1780,Kevin Schade,GER,FW-MF,Freiburg,Bundesliga,20,2001,21,831,0.43,2.07,0.11,1.3,2.72
1781,Louis Schaub,AUT,MF-FW,FALSE,Bundesliga,27,1994,27,644,0.14,2.08,0.28,0.83,1.39
1782,Andrea Schiavone,ITA,MF,Salernitana,Serie A,29,1993,14,571,0.16,0.32,0,2.22,1.9
1783,Patrik Schick,CZE,FW,Leverkusen,Bundesliga,26,1996,25,1911,1.04,3.77,0.05,1.23,0.66
1784,Kingsley Schindler,GER,DF-MF,FALSE,Bundesliga,28,1993,16,312,0.29,0.86,0.57,2.29,0.57
1785,Xaver Schlager,AUT,MF,Wolfsburg,Bundesliga,24,1997,12,860,0,1.04,0.1,0.94,2.29
1786,Keven Schlotterbeck,GER,DF,Freiburg,Bundesliga,25,1997,12,315,0,0.29,0,7.14,2.57
1787,Nico Schlotterbeck,GER,DF,Freiburg,Bundesliga,22,1999,30,2605,0.14,1.18,0.03,5.5,1.14
1788,Jeffrey Schlupp,GHA,MF-FW,Crystal Palace,Premier League,29,1992,28,1647,0.16,1.48,0.05,1.37,1.48
1789,Kasper Schmeichel,DEN,GK,Leicester City,Premier League,35,1986,33,2970,0,0,0,0.03,0
1790,Jonathan Schmid,FRA,DF,Freiburg,Bundesliga,31,1990,11,559,0,0.65,0,1.94,0.97
1791,Benno Schmitz,GER,DF,FALSE,Bundesliga,27,1994,29,2315,0,0.39,0.19,1.79,1.21
1792,David Schnegg,AUT,DF,Venezia,Serie A,23,1998,4,142,0,0,0,3.75,1.88
1793,Morgan Schneiderlin,FRA,MF,Nice,Ligue 1,32,1989,17,583,0,0.31,0.15,1.69,1.69
1794,Jerdy Schouten,NED,MF,Bologna,Serie A,25,1997,14,1167,0,0.31,0.08,1.77,1.38
1795,Nico Schulz,GER,DF,Dortmund,Bundesliga,29,1993,15,813,0,0.33,0.11,1,1.78
1796,Alexander Schwolow,GER,GK,Hertha BSC,Bundesliga,29,1992,25,2175,0,0,0,0.08,0.08
1797,Valentino Scotta,ESP,DF,Sevilla,La Liga,20,2001,1,1,0,0,0,0,0
1798,Demba Seck,SEN,FW,Torino,Serie A,21,2001,5,99,0,3.64,0,0,0.91
1799,Aleksandar Sedlar,SRB,DF-MF,Mallorca,La Liga,30,1991,10,404,0,0,0,4.22,1.56
1800,Paul Seguin,GER,MF,FALSE,Bundesliga,27,1995,25,2050,0,0.44,0.13,1.18,2.11
1801,Alidu Seidu,CIV,DF-FW,Clermont Foot,Ligue 1,21,2000,18,1140,0,0.71,0,2.6,1.1
1802,Davie Selke,GER,FW,Hertha BSC,Bundesliga,27,1995,24,914,0.29,2.06,0,0.59,2.75
1803,Matz Sels,BEL,GK,Strasbourg,Ligue 1,30,1992,34,3060,0,0.06,0,0.03,0.03
1804,Ken Sema,SWE,MF-FW,Watford,Premier League,28,1993,14,553,0,0.33,0,2.62,2.62
1805,Lion Semi?,GER,DF,Dortmund,Bundesliga,18,2003,1,3,0,0,0,0,0
1806,Stefano Sensi,ITA,MF,Inter,Serie A,26,1995,9,167,0,1.58,0,0,2.11
1807,Luigi Sepe,ITA,GK,Salernitana,Serie A,30,1991,14,1212,0,0,0,0,0
1808,Suat Serdar,GER,MF-FW,Hertha BSC,Bundesliga,25,1997,28,2097,0.13,1.37,0,0.47,1.67
1809,Laurens Serpe,ITA,DF,Genoa,Serie A,21,2001,1,45,0,0,0,2,0
1810,Janni Serra,GER,FW,Arminia,Bundesliga,24,1998,24,982,0.18,1.74,0.18,1.93,1.28
1811,Javier Serrano,ESP,MF,FALSE,La Liga,19,2003,5,68,0,0,0,1.25,3.75
1812,Zidan Sertdemir,DEN,MF-FW,Leverkusen,Bundesliga,17,2005,3,18,0,0,0,0,10
1813,Ryan Sessegnon,ENG,DF,Tottenham,Premier League,21,2000,11,700,0,0.38,0.13,2.05,2.56
1814,Nils Seufert,GER,MF,FALSE,Bundesliga,25,1997,4,99,0,0,0,1.82,0.91
1815,Salva Sevilla,ESP,MF,Mallorca,La Liga,38,1984,24,1220,0.29,1.4,0.22,1.03,1.4
1816,Stephan El Shaarawy,ITA,DF-FW,Roma,Serie A,29,1992,24,976,0.28,2.87,0,0.65,0.74
1817,Jamie Shackleton,ENG,DF-MF,Leeds United,Premier League,22,1999,13,686,0,0.53,0,1.18,1.84
1818,Xherdan Shaqiri,SUI,FW-MF,Lyon,Ligue 1,30,1991,11,679,0.27,1.73,0.4,0.13,1.07
1819,Luke Shaw,ENG,DF,Manchester Utd,Premier League,26,1995,20,1601,0,0.34,0.17,1.24,1.97
1820,Jonjo Shelvey,ENG,MF,Newcastle Utd,Premier League,30,1992,24,1983,0.09,1.32,0.05,1.5,0.91
1821,Aimar Sher,SWE,MF,Spezia,Serie A,19,2002,1,45,0,0,0,4,0
1822,Eldor Shomurodov,UZB,FW,Roma,Serie A,26,1995,25,677,0.27,3.33,0.53,0.53,2.27
1823,Mahame Siby,MLI,MF-DF,Strasbourg,Ligue 1,25,1996,2,17,0,0,0,0,0
